Date,Close
3/3/15,61.97
3/4/15,62.13
3/5/15,62
3/6/15,60.89
3/9/15,61.5
3/10/15,59.96
3/11/15,60.24
3/12/15,61.37
3/13/15,61
3/16/15,61.85
3/17/15,61.61
3/18/15,61.75
3/19/15,61.2
3/20/15,61.75
3/23/15,61.14
3/24/15,60.46
3/25/15,59.61
3/26/15,59.54
3/27/15,59.55
3/30/15,60.96
3/31/15,60.58
4/1/15,59.95
4/2/15,60.52
4/6/15,60.47
4/7/15,60.85
4/8/15,61.05
4/9/15,61.47
4/10/15,61.7
4/13/15,62.07
4/14/15,63.04
4/15/15,64.21
4/16/15,63.81
4/17/15,62.84
4/20/15,63.24
4/21/15,62.31
4/22/15,62.94
4/23/15,62.8
4/24/15,62.6
4/27/15,62.34
4/28/15,62.76
4/29/15,63.6
4/30/15,63.26
5/1/15,63.61
5/4/15,64.72
5/5/15,64.4
5/6/15,63.92
5/7/15,64.5
5/8/15,65.49
5/11/15,65.45
5/12/15,65.36
5/13/15,65.52
5/14/15,66.05
5/15/15,65.88
5/18/15,66.42
5/19/15,67.01
5/20/15,66.48
5/21/15,66.65
5/22/15,66.47
5/26/15,65.73
5/27/15,66.47
5/28/15,66.2
5/29/15,65.78
6/1/15,66.08
6/2/15,66.02
6/3/15,66.7
6/4/15,66.33
6/5/15,67.42
6/8/15,66.89
6/9/15,67.18
6/10/15,68.26
6/11/15,68.52
6/12/15,68.25
6/15/15,67.99
6/16/15,68.37
6/17/15,68.14
6/18/15,68.78
6/19/15,68.08
6/22/15,68.96
6/23/15,69.75
6/24/15,69.02
6/25/15,68.65
6/26/15,68.95
6/29/15,67.2
6/30/15,67.76
7/1/15,68.07
7/2/15,67.52
7/6/15,67.33
7/7/15,66.8
7/8/15,65.43
7/9/15,66.11
7/10/15,67.05
7/13/15,68.09
7/14/15,69.04
7/15/15,69.19
7/16/15,69.56
7/17/15,69.21
7/20/15,69.26
7/21/15,69.1
7/22/15,70.08
7/23/15,69.64
7/24/15,68.91
7/27/15,68.01
7/28/15,68.05
7/29/15,68.94
7/30/15,69.04
7/31/15,68.53
8/3/15,68.53
8/4/15,68.46
8/5/15,68.73
8/6/15,68.25
8/7/15,68.05
8/10/15,68.89
8/11/15,68.23
8/12/15,67.24
8/13/15,67.55
8/14/15,67.89
8/17/15,68.07
8/18/15,68.21
8/19/15,67.6
8/20/15,65.94
8/21/15,63.6
8/24/15,60.25
8/25/15,59.91
8/26/15,62.91
8/27/15,64.48
8/28/15,64.13
8/31/15,64.1
9/1/15,61.45
9/2/15,62.57
9/3/15,62.68
9/4/15,61.5
9/8/15,63.16
9/9/15,62.18
9/10/15,62.66
9/11/15,62.56
9/14/15,62.38
9/15/15,63.58
9/16/15,64.14
9/17/15,62.65
9/18/15,60.94
9/21/15,61.45
9/22/15,60.91
9/23/15,60.64
9/24/15,60.22
9/25/15,61.47
9/28/15,59.98
9/29/15,59.84
9/30/15,60.97
10/1/15,61.42
10/2/15,60.81
10/5/15,62.02
10/6/15,62.05
10/7/15,62.13
10/8/15,62.13
10/9/15,61.93
10/12/15,61.72
10/13/15,61.55
10/14/15,59.99
10/15/15,61.89
10/16/15,62.43
10/19/15,62.22
10/20/15,62.52
10/21/15,62.06
10/22/15,63.19
10/23/15,63.87
10/26/15,63.9
10/27/15,63.64
10/28/15,65.5
10/29/15,65.21
10/30/15,64.25
11/2/15,65.54
11/3/15,65.78
11/4/15,65.85
11/5/15,66.44
11/6/15,68.46
11/9/15,67.39
11/10/15,67.68
11/11/15,67.35
11/12/15,66
11/13/15,65.56
11/16/15,66.51
11/17/15,66.13
11/18/15,67.45
11/19/15,67.66
11/20/15,67.54
11/23/15,66.88
11/24/15,66.78
11/25/15,66.86
11/27/15,67.17
11/30/15,66.68
12/1/15,67.61
12/2/15,66.66
12/3/15,65.8
12/4/15,67.89
12/7/15,67
12/8/15,65.96
12/9/15,65.46
12/10/15,65.61
12/11/15,64.07
12/14/15,64.27
12/15/15,66.1
12/16/15,67.53
12/17/15,66.28
12/18/15,64.4
12/21/15,65.54
12/22/15,65.68
12/23/15,66.73
12/24/15,66.6
12/28/15,66.38
12/29/15,67.07
12/30/15,66.59
12/31/15,66.03
1/4/16,63.62
1/5/16,63.73
1/6/16,62.81
1/7/16,60.27
1/8/16,58.92
1/11/16,58.83
1/12/16,58.96
1/13/16,57.34
1/14/16,58.2
1/15/16,57.04
1/19/16,57.01
1/20/16,55.51
1/21/16,55.25
1/22/16,56.95
1/25/16,55.66
1/26/16,57.08
1/27/16,57.04
1/28/16,57.28
1/29/16,59.5
2/1/16,58.86
2/2/16,57.03
2/3/16,57.41
2/4/16,58.4
2/5/16,57.75
2/8/16,56.54
