Date,Close
3/3/15,34.56
3/4/15,34.64
3/5/15,34.47
3/6/15,33.97
3/9/15,34.03
3/10/15,33.78
3/11/15,33.63
3/12/15,34
3/13/15,34
3/16/15,34.44
3/17/15,34.17
3/18/15,34.38
3/19/15,34.15
3/20/15,34.25
3/23/15,35.05
3/24/15,34.52
3/25/15,34.3
3/26/15,34.16
3/27/15,34.53
3/30/15,35
3/31/15,34.79
4/1/15,34.33
4/2/15,34.38
4/6/15,34.48
4/7/15,34.54
4/8/15,34.64
4/9/15,35.03
4/10/15,35.44
4/13/15,35.09
4/14/15,35.03
4/15/15,35.21
4/16/15,35.19
4/17/15,35.04
4/20/15,35.01
4/21/15,34.89
4/22/15,34.93
4/23/15,35.36
4/24/15,35.27
4/27/15,34.59
4/28/15,34.48
4/29/15,34.29
4/30/15,33.93
5/1/15,34.08
5/4/15,34.32
5/5/15,34.12
5/6/15,33.46
5/7/15,33.58
5/8/15,34.02
5/11/15,33.96
5/12/15,33.78
5/13/15,33.53
5/14/15,33.94
5/15/15,33.99
5/18/15,33.98
5/19/15,34.21
5/20/15,34.3
5/21/15,34.36
5/22/15,34.28
5/26/15,34.11
5/27/15,34.3
5/28/15,34.44
5/29/15,34.75
6/1/15,34.56
6/2/15,34.49
6/3/15,34.41
6/4/15,34.24
6/5/15,34.09
6/8/15,33.98
6/9/15,34.01
6/10/15,34.31
6/11/15,34.46
6/12/15,34.21
6/15/15,34.04
6/16/15,34.04
6/17/15,33.98
6/18/15,34.37
6/19/15,34.18
6/22/15,34.31
6/23/15,34.5
6/24/15,34.23
6/25/15,34.02
6/26/15,33.92
6/29/15,33.59
6/30/15,33.53
7/1/15,33.69
7/2/15,33.37
7/6/15,33.25
7/7/15,33.73
7/8/15,33.45
7/9/15,33.86
7/10/15,34.36
7/13/15,34.82
7/14/15,35.08
7/15/15,34.98
7/16/15,35.1
7/17/15,35.07
7/20/15,35.24
7/21/15,35.14
7/22/15,34.88
7/23/15,34.78
7/24/15,34.26
7/27/15,34.34
7/28/15,35.35
7/29/15,35.76
7/30/15,35.73
7/31/15,36.06
8/3/15,36.15
8/4/15,36.11
8/5/15,35.82
8/6/15,35.17
8/7/15,35.19
8/10/15,35.36
8/11/15,35.12
8/12/15,35.37
8/13/15,35.36
8/14/15,35.32
8/17/15,35.5
8/18/15,35.52
8/19/15,35.27
8/20/15,34.55
8/21/15,33.54
8/24/15,32.13
8/25/15,31.34
8/26/15,32.43
8/27/15,33.26
8/28/15,32.66
8/31/15,32.22
9/1/15,31.36
9/2/15,31.97
9/3/15,31.89
9/4/15,31.37
9/8/15,32.53
9/9/15,31.96
9/10/15,32.62
9/11/15,32.97
9/14/15,32.71
9/15/15,33.17
9/16/15,33.18
9/17/15,33.48
9/18/15,32.85
9/21/15,32.42
9/22/15,32.26
9/23/15,32.62
9/24/15,32.7
9/25/15,31.89
9/28/15,30.82
9/29/15,31.02
9/30/15,31.41
10/1/15,31.84
10/2/15,33.08
10/5/15,33.48
10/6/15,32.79
10/7/15,33.29
10/8/15,33.09
10/9/15,33.24
10/12/15,33.22
10/13/15,32.98
10/14/15,33.04
10/15/15,34.08
10/16/15,34.41
10/19/15,34.5
10/20/15,34
10/21/15,33.46
10/22/15,33.33
10/23/15,34.05
10/26/15,34.16
10/27/15,34.99
10/28/15,35.45
10/29/15,34.77
10/30/15,33.82
11/2/15,35.06
11/3/15,34.97
11/4/15,34.14
11/5/15,34.15
11/6/15,33.93
11/9/15,33.65
11/10/15,33.79
11/11/15,33.74
11/12/15,33.39
11/13/15,33.27
11/16/15,33.16
11/17/15,32.87
11/18/15,33.31
11/19/15,32.29
11/20/15,32.18
11/23/15,31.33
11/24/15,31.97
11/25/15,32.87
11/27/15,32.79
11/30/15,32.77
12/1/15,33.62
12/2/15,32.9
12/3/15,32.39
12/4/15,32.8
12/7/15,32.66
12/8/15,32.53
12/9/15,32.29
12/10/15,32.36
12/11/15,32.06
12/14/15,32.18
12/15/15,32.26
12/16/15,32.58
12/17/15,32.33
12/18/15,31.99
12/21/15,32.46
12/22/15,32.52
12/23/15,32.56
12/24/15,32.62
12/28/15,32.42
12/29/15,32.83
12/30/15,32.75
12/31/15,32.28
1/4/16,31.95
1/5/16,32.18
1/6/16,31.61
1/7/16,31.4
1/8/16,31
1/11/16,31.07
1/12/16,31
1/13/16,30.37
1/14/16,31.11
1/15/16,30.81
1/19/16,30.69
1/20/16,30.66
1/21/16,30.58
1/22/16,30.71
1/25/16,30.5
1/26/16,30.67
1/27/16,30.52
1/28/16,30.2
1/29/16,30.49
2/1/16,30.17
2/2/16,30.14
2/3/16,29.67
2/4/16,29
2/5/16,29.03
2/8/16,28.56
2/9/16,29.1
2/10/16,29.49
2/11/16,29.13
2/12/16,29.36
2/16/16,29.81
2/17/16,29.63
2/18/16,29.55
2/19/16,29.49
2/22/16,30.05
2/23/16,29.96
2/24/16,30.02
2/25/16,30.59
2/26/16,30.23
2/29/16,29.67
3/1/16,30.04
3/2/16,29.98
3/3/16,29.89
3/4/16,29.71
3/7/16,29.79
3/8/16,29.36
3/9/16,29.74
3/10/16,29.59
3/11/16,30.5
3/14/16,30.1
3/15/16,29.54
3/16/16,29.04
3/17/16,29.34
3/18/16,29.45
3/21/16,30.07
3/22/16,30.38
3/23/16,30.19
3/24/16,30.08
3/28/16,29.78
3/29/16,30.05
3/30/16,30.07
3/31/16,29.64
4/1/16,30.04
4/4/16,30.72
4/5/16,31.36
4/6/16,32.93
4/7/16,32.76
4/8/16,32.5
4/11/16,31.89
4/12/16,31.96
4/13/16,32.54
4/14/16,32.65
4/15/16,32.5
4/18/16,32.61
4/19/16,32.89
4/20/16,33.23
4/21/16,33.24
4/22/16,33.27
4/25/16,33.21
4/26/16,33.05
4/27/16,33
4/28/16,32.91
4/29/16,32.71
5/2/16,32.8
5/3/16,33.7
5/4/16,33.4
5/5/16,33.57
5/6/16,33.58
5/9/16,33.82
5/10/16,33.8
5/11/16,33.16
5/12/16,33.19
5/13/16,33.19
5/16/16,33.38
5/17/16,33.03
5/18/16,33.17
5/19/16,33.38
5/20/16,33.74
5/23/16,33.67
5/24/16,34.1
5/25/16,34.35
5/26/16,34.43
5/27/16,34.61
5/31/16,34.7
6/1/16,34.75
6/2/16,34.87
6/3/16,34.69
6/6/16,34.93
6/7/16,34.84
6/8/16,35.25
6/9/16,35.31
6/10/16,35.29
6/13/16,34.74
6/14/16,34.99
6/15/16,34.79
6/16/16,34.75
6/17/16,34.22
6/20/16,34.5
6/21/16,34.75
6/22/16,34.47
6/23/16,34.59
6/24/16,33.97
6/27/16,33.8
6/28/16,34.44
6/29/16,35.01
6/30/16,35.21
7/1/16,35.57
7/5/16,35.81
7/6/16,35.86
7/7/16,35.77
7/8/16,36.12
7/11/16,36.15
7/12/16,36.24
7/13/16,36.31
7/14/16,36.92
7/15/16,36.77
7/18/16,36.64
7/19/16,36.64
7/20/16,36.68
7/21/16,36.71
7/22/16,36.74
7/25/16,36.78
7/26/16,36.83
7/27/16,36.85
7/28/16,36.67
7/29/16,36.89
8/1/16,37.31
8/2/16,36.39
8/3/16,35.29
8/4/16,35.15
8/5/16,35.44
8/8/16,34.93
8/9/16,35.08
8/10/16,35.13
8/11/16,35.15
8/12/16,34.98
8/15/16,35.11
8/16/16,34.79
8/17/16,35.14
8/18/16,35.19
8/19/16,34.98
8/22/16,34.84
8/23/16,35.09
8/24/16,34.82
8/25/16,34.77
8/26/16,34.82
8/29/16,35.11
8/30/16,34.88
8/31/16,34.8
9/1/16,34.68
9/2/16,34.77
9/6/16,34.77
9/7/16,34.84
9/8/16,34.72
9/9/16,34.1
9/12/16,34.65
9/13/16,34.04
9/14/16,33.94
9/15/16,34.14
9/16/16,33.94
9/19/16,33.65
9/20/16,33.81
9/21/16,34.28
9/22/16,34.15
9/23/16,34.26
9/26/16,33.64
9/27/16,33.83
9/28/16,33.99
9/29/16,33.32
9/30/16,33.87
10/3/16,33.68
10/4/16,33.72
10/5/16,33.9
10/6/16,33.65
10/7/16,33.56
10/10/16,33.61
10/11/16,33.13
10/12/16,33.07
10/13/16,32.76
10/14/16,32.66
10/17/16,32.5
10/18/16,32.69
10/19/16,32.6
10/20/16,32.54
10/21/16,32.18
10/24/16,32.13
10/25/16,32.28
10/26/16,32.4
10/27/16,32.48
10/28/16,31.93
10/31/16,31.71
11/1/16,31.07
11/2/16,30.63
11/3/16,29.89
11/4/16,30
11/7/16,30.38
11/8/16,30
11/9/16,32.12
11/10/16,33.49
11/11/16,32.59
11/14/16,32.38
11/15/16,32.23
11/16/16,31.96
11/17/16,31.73
11/18/16,31.48
11/21/16,31.57
11/22/16,31.33
11/23/16,31.42
11/25/16,31.69
11/28/16,31.54
11/29/16,31.92
11/30/16,32.14
12/1/16,31.46
12/2/16,31.63
12/5/16,31.59
12/6/16,31.56
12/7/16,31.19
12/8/16,30.94
12/9/16,31.7
